Deadline;Customer;Order Nr;Date;Product Nr;Name;Order qty;Made qty;Diff
;;;;;;;;
;;;;;;;;
;0001;;;014247;KANTA 18L-1 OVALNABIJELA S RUÈKOM;2.240,00;2.240,00;0
;;;;;;;;
;;;;;;;;
;0001;;;013328;POKLOPAC 1L/1,2L BIJELI;10.800,00;10.800,00;0
;;;;;;;;
;;;;006638;KOŠARA ZA PECIVO 180mm ŽUTA;201;0;0
;;;;;;;;
;;;;;;;;
20.12.2018;6107;19-011-001581;22.11.2019;017316;SG-Schacht 20,8 montiert ,Testerbereich abgekuerztPusher natur;12.096,00;12.096,00;0
;;;;;;;;
;;;;;;;;
14.1.2019;1290;19-016-000880;5.12.2019;015422;KANTA 7L ZELENA SRUÈKOM + ZELENIPOKLOPAC - TISAKVAPNENO BJELILO;1.800,00;1.800,00;0
;;;;;;;;
;;;;;;;;
14.1.2019;1290;19-016-000880;5.12.2019;015749;"KANTA 20L ""N"" BIJELA SRUÈKOM + BIJELIPOKLOPAC - TISAK MKG";1.260,00;1.260,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;016660;ETW 0092 - DESNI DIO mitzapfen;200;200;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;016661;ETW 0092 - LIJEVI DIOohne zapfen;200;200;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;012792;KANTA 2,5L BIJELA BEZRUÈKE - TISAKMEDICINSKI ZARAZNIOTPAD;290;290;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;009886;"KOŠARA500X420X180""R""CRVENA";540;540;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;013636;RUÈKA 10L BIJELAPODRAVKA;10.000,00;10.000,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015428;KANTA 18L-1 OVALNAZELENA S RUÈKOM (MB985535);960;960;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015340;LIPPENSTIFT R;4.000,00;4.000,00;0
;;;;;;;;
16.1.2019;0001;;;016657;"KOŠARA FRANCUZ ""O""SIVAPL.ŠMARTINKA";300;300;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;013680;"KANTA 20L ""N"" BIJELA BEZRUÈKE - PREHRANA";2.940,00;2.940,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;013472;"KANTA 20L ""N"" NATUR SRUÈKOM";420;420;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015851;TEXT KLAPPE ANNY;50;50;0
;;;;;;;;
16.1.2019;0001;;;013457;"KANTA 20L ""N"" BIJELA SRUÈKOM";5.040,00;5.040,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;012117;KANTA 2,5L BIJELA BEZRUÈKE;4.800,00;4.800,00;0
;;;;;;;;
;;;;;;;;
16.1.2019;0001;;;015341;LIPPENSTIFT M klein;10.500,00;10.500,00;0
;;;;;;;;
16.1.2019;0001;;;013140;"KANTA 20L ""S"" BIJELA BEZRUÈKE";3.200,00;3.200,00;0
;;;;;;;;
;;;;;;;;
