

;2024.12.13 06:20:43;

Početak mjerenja: 2024.12.13 05:20:43
Br.ciklusa;Br.ciklusa;
Stv.vr.ubr.;Stvarno vr.ubrizg.;
Vrijeme ciklusa;Vrijeme ciklusa;
Kraj.poz.doziranje;Kraj.poz.doziranje;
Stv.vr.zatv.;Stv.vr.zatv.;
Poz.prijelaza ubr.2;Poz.prijelaza ubrizg.2;
Jastuk2;Jastuk2;
Stv.vr.otv.;Stv.vr.otv.;

Škart [ ];Br.ciklusa [ ];Stv.vr.ubr. [s];Vrijeme ciklusa [s];Kraj.poz.doziranje [mm];Stv.vr.zatv. [s];Poz.prijelaza ubr.2 [mm];Jastuk2 [mm];Stv.vr.otv. [s];
 ;726;2,9;39,0;81,2;3,6;7,0;5,1;4,2;
 ;727;2,9;39,0;81,2;3,6;7,0;5,1;4,2;
 ;728;2,9;39,0;81,2;3,6;7,0;5,2;4,2;
 ;729;2,9;39,0;81,2;3,6;7,0;4,8;4,2;
 ;730;2,9;39,0;81,2;3,6;7,0;4,9;4,2;
 ;731;2,9;39,0;81,2;3,6;7,0;5,0;4,2;
 ;732;2,9;38,9;81,2;3,6;7,0;5,0;4,2;
 ;733;2,9;39,0;81,2;3,6;7,0;5,1;4,2;
 ;734;2,9;39,0;81,2;3,6;7,0;5,1;4,2;
 ;735;2,9;38,9;81,2;3,6;7,0;5,1;4,2;
 ;736;2,9;39,0;81,2;3,6;7,0;5,2;4,2;
 ;737;2,9;38,9;81,2;3,6;7,0;5,0;4,2;
 ;738;2,9;39,0;81,2;3,6;7,0;5,1;4,2;
 ;739;2,9;38,9;81,2;3,6;7,0;5,1;4,2;
 ;740;2,9;38,9;81,2;3,6;7,0;5,1;4,2;
 ;741;2,9;38,9;81,2;3,6;7,0;5,2;4,2;
 ;742;2,9;39,0;81,2;3,6;7,0;5,1;4,2;
 ;743;2,9;39,0;81,2;3,6;7,0;5,1;4,2;
 ;744;2,9;38,9;81,2;3,6;7,0;5,1;4,2;
 ;745;2,9;38,9;81,2;3,6;7,0;5,1;4,2;
 ;746;2,9;38,9;81,2;3,6;7,0;5,1;4,2;
Analiza poslednjeg 20 Ubrizg.
 ;Uzor;0,8;31,2;21,7;6,2;4,0;6,3;12,2;
 ;Minimum;2,9;38,9;81,2;3,6;7,0;4,8;4,2;
 ;Maksimum;2,9;39,0;81,2;3,6;7,0;5,2;4,2;
 ;Razlika;0,0;0,1;0,0;0,0;0,0;0,4;0,0;
 ;Srednji;2,9;39,0;81,2;3,6;7,0;5,1;4,2;

Kraj mjerenja: 2024.12.13 05:36:23
