

;2024.12.13 12:34:09;

Početak mjerenja: 2024.12.13 11:34:09
Br.ciklusa;Br.ciklusa;
Vrijeme ciklusa;Vrijeme ciklusa;
Stv.vr.ubr.;Stvarno vr.ubrizg.;
Pozicija puža ;Pozicija puža;
Stv.vr.doziranja;Stvarno vr.doziranja;
Jastuk2;Jastuk2;
Poz.prijelaza ubr.2;Poz.prijelaza ubrizg.2;

Škart [ ];Br.ciklusa [ ];Vrijeme ciklusa [s];Stv.vr.ubr. [s];Pozicija puža  [mm];Stv.vr.doziranja [s];Jastuk2 [mm];Poz.prijelaza ubr.2 [mm];
 ;1009;33,5;4,1;80,5;6,3;10,5;11,0;
 ;1010;33,5;4,1;80,5;6,2;10,5;11,0;
 ;1011;33,7;4,1;80,5;6,3;10,5;11,0;
 ;1012;33,7;4,1;80,5;6,3;10,5;11,0;
 ;1013;33,6;4,1;80,5;6,3;10,5;11,0;
 ;1014;33,5;4,1;80,5;6,3;10,5;11,0;
Analiza poslednjeg 6 Ubrizg.
 ;Uzor;39,3;5,5;0,0;0,0;0,0;0,0;
 ;Minimum;33,5;4,1;80,5;6,2;10,5;11,0;
 ;Maksimum;33,7;4,1;80,5;6,3;10,5;11,0;
 ;Razlika;0,2;0,0;0,0;0,1;0,0;0,0;
 ;Srednji;33,6;4,1;80,5;6,3;10,5;11,0;

Kraj mjerenja: 2024.12.13 11:37:19
